_D___refs _D1__misses _LLd_misses _D1__miss_rate _LLd_miss_rate _LL_refs _LL_misses _LL_miss_rate  Row Col
1741937 17859 9939 1.0% 0.6% 21186 12809 0.1%  1 1
1843186 17853 9939 1.0% 0.5% 21183 12816 0.1%  1 2
1766999 17859 9941 1.0% 0.6% 21203 12826 0.1%  1 3
1300777 17857 9944 1.4% 0.8% 21199 12828 0.2%  1 4
1429001 17868 9950 1.3% 0.7% 21214 12837 0.2%  1 5
1612270 17897 9962 1.1% 0.6% 21244 12850 0.1%  1 6
2124221 17936 9987 0.8% 0.5% 21285 12876 0.1%  1 7
1899095 18025 10035 0.9% 0.5% 21391 12929 0.1%  1 8
2091622 18223 10131 0.9% 0.5% 21569 13023 0.1%  1 9
2240761 18752 10323 0.8% 0.5% 22113 13211 0.1%  1 10
1639898 19776 10707 1.2% 0.7% 23204 13595 0.1%  1 11
1630532 21758 11475 1.3% 0.7% 25163 14362 0.1%  1 12
1883069 25344 13011 1.3% 0.7% 28757 15900 0.1%  1 13
1615760 32505 16010 2.0% 1.0% 35893 18903 0.2%  1 14
1315934 46837 22228 3.6% 1.7% 50222 25120 0.4%  1 15
1414761 75515 34516 5.3% 2.4% 78905 37406 0.5%  1 16
2654178 132852 59092 5.0% 2.2% 136223 61983 0.4%  1 17
1550655 17855 9939 1.2% 0.6% 21186 12813 0.1%  2 1
2685382 17852 9941 0.7% 0.4% 21189 12832 0.1%  2 2
1926949 17857 9942 0.9% 0.5% 21198 12824 0.1%  2 3
1354030 17860 9947 1.3% 0.7% 21199 12830 0.2%  2 4
2008583 17886 9957 0.9% 0.5% 21218 12843 0.1%  2 5
1789230 17919 9977 1.0% 0.6% 21262 12864 0.1%  2 6
1471870 17998 10018 1.2% 0.7% 21345 12905 0.2%  2 7
1661736 18140 10098 1.1% 0.6% 21490 12981 0.1%  2 8
2320472 18556 10258 0.8% 0.4% 21894 13143 0.1%  2 9
1919296 19417 10578 1.0% 0.6% 22772 13462 0.1%  2 10
2047895 20915 11218 1.0% 0.5% 24308 14105 0.1%  2 11
2374578 24873 12426 1.0% 0.5% 28254 15323 0.1%  2 12
2223953 31532 15060 1.4% 0.7% 34946 17955 0.1%  2 13
2400017 44837 20107 1.9% 0.8% 48209 22997 0.1%  2 14
2571286 71456 30421 2.8% 1.2% 74833 33313 0.2%  2 15
1869656 124701 50901 6.7% 2.7% 128081 53789 0.5%  2 16
3497789 231201 91861 6.6% 2.6% 234576 94753 0.4%  2 17
1786525 17854 9941 1.0% 0.6% 21198 12828 0.1%  3 1
