6e-06 786069 16672 9452 2.1% 1.2% 19485 11980 0.4%  1 1
2e-06 786194 16676 9454 2.1% 1.2% 19501 11990 0.4%  1 2
3e-06 786683 16681 9455 2.1% 1.2% 19518 12002 0.4%  1 3
3e-06 787031 16685 9458 2.1% 1.2% 19521 12005 0.4%  1 4
6e-06 787769 16694 9464 2.1% 1.2% 19532 12012 0.4%  1 5
8e-06 789348 16705 9476 2.1% 1.2% 19536 12022 0.4%  1 6
1e-05 792132 16730 9500 2.1% 1.2% 19560 12045 0.4%  1 7
1.3e-05 797834 16788 9548 2.1% 1.2% 19636 12098 0.4%  1 8
2.6e-05 809192 16915 9644 2.1% 1.2% 19760 12194 0.4%  1 9
5e-05 831724 17182 9836 2.1% 1.2% 20040 12384 0.4%  1 10
0.000141 876920 18349 10220 2.1% 1.2% 21246 12774 0.4%  1 11
0.00021 966955 20447 10988 2.1% 1.1% 23345 13542 0.4%  1 12
0.000388 1147223 24039 12524 2.1% 1.1% 26951 15078 0.4%  1 13
0.00078 1507523 31201 15535 2.1% 1.0% 34081 18090 0.4%  1 14
0.001517 2228415 45537 21742 2.0% 1.0% 48417 24297 0.3%  1 15
0.00345 3670197 74208 34030 2.0% 0.9% 77083 36583 0.3%  1 16
0.006309 6553799 131552 58606 2.0% 0.9% 134429 61160 0.3%  1 17
0.012495 12320964 246240 107758 2.0% 0.9% 249122 110314 0.3%  1 18
2e-06 786213 16676 9454 2.1% 1.2% 19500 11990 0.4%  2 1
3e-06 786690 16680 9454 2.1% 1.2% 19516 12001 0.4%  2 2
5e-06 787019 16681 9458 2.1% 1.2% 19515 12005 0.4%  2 3
3e-06 787718 16689 9463 2.1% 1.2% 19528 12011 0.4%  2 4
5e-06 789185 16705 9473 2.1% 1.2% 19528 12016 0.4%  2 5
1e-05 791792 16723 9493 2.1% 1.2% 19554 12038 0.4%  2 6
1.6e-05 797036 16771 9533 2.1% 1.2% 19603 12079 0.4%  2 7
2.6e-05 807697 16874 9613 2.1% 1.2% 19720 12163 0.4%  2 8
4.8e-05 828649 17087 9773 2.1% 1.2% 19931 12321 0.4%  2 9
0.000144 870666 18071 10093 2.1% 1.2% 20929 12641 0.4%  2 10
0.000188 954758 19455 10733 2.0% 1.1% 22353 13287 0.4%  2 11
0.000417 1122510 23521 11950 2.1% 1.1% 26401 14506 0.4%  2 12
0.000754 1458449 30179 14573 2.1% 1.0% 33081 17132 0.3%  2 13
0.001507 2130146 43490 19630 2.0% 0.9% 46369 22185 0.3%  2 14
0.003068 3473615 70114 29933 2.0% 0.9% 72992 32486 0.3%  2 15
3e-06 786761 16681 9455 2.1% 1.2% 19518 12002 0.4%  3 1
3e-06 787069 16681 9458 2.1% 1.2% 19518 12005 0.4%  3 2
6e-06 787725 16685 9461 2.1% 1.2% 19524 12009 0.4%  3 3
7e-06 789165 16703 9470 2.1% 1.2% 19526 12013 0.4%  3 4
8e-06 791682 16722 9488 2.1% 1.2% 19553 12033 0.4%  3 5
1.3e-05 796731 16759 9524 2.1% 1.2% 19592 12070 0.4%  3 6
2.7e-05 806949 16857 9596 2.1% 1.2% 19679 12138 0.4%  3 7
5.1e-05 827168 17037 9740 2.1% 1.2% 19872 12285 0.4%  3 8
9.8e-05 867620 17940 10028 2.1% 1.2% 20775 12573 0.4%  3 9
0.00019 948675 19158 10604 2.0% 1.1% 22053 13156 0.4%  3 10
0.000389 1110285 21590 11695 1.9% 1.1% 24470 14251 0.4%  3 11
0.000761 1433870 29677 14062 2.1% 1.0% 32557 16618 0.3%  3 12
0.001518 2081119 42478 18670 2.0% 0.9% 45380 21229 0.3%  3 13
0.00299 3375398 68077 27824 2.0% 0.8% 70956 30377 0.3%  3 14
0.006194 5964088 119277 46319 2.0% 0.8% 122154 48872 0.3%  3 15
5e-06 787198 16685 9458 2.1% 1.2% 19519 12005 0.4%  4 1
3e-06 787874 16689 9463 2.1% 1.2% 19528 12011 0.4%  4 2
5e-06 789279 16702 9470 2.1% 1.2% 19533 12016 0.4%  4 3
8e-06 791726 16721 9487 2.1% 1.2% 19547 12030 0.4%  4 4
1.5e-05 796689 16758 9521 2.1% 1.2% 19588 12065 0.4%  4 5
2.5e-05 806698 16844 9589 2.1% 1.2% 19673 12133 0.4%  4 6
4.9e-05 826515 17022 9725 2.1% 1.2% 19849 12266 0.4%  4 7
9.6e-05 866264 17699 9997 2.0% 1.2% 20541 12543 0.4%  4 8
0.00019 945716 19032 10541 2.0% 1.1% 21911 13090 0.4%  4 9
0.000419 1104307 21212 11568 1.9% 1.0% 24092 14122 0.4%  4 10
0.000747 1421745 25833 13807 1.8% 1.0% 28713 16361 0.3%  4 11
0.00149 2056637 41983 18159 2.0% 0.9% 44863 20713 0.3%  4 12
0.003335 3326462 67073 26863 2.0% 0.8% 69974 29418 0.3%  4 13
0.006118 5865946 117246 44209 2.0% 0.8% 120123 46760 0.3%  4 14
0.012388 10944986 217598 79088 2.0% 0.7% 220474 81639 0.3%  4 15
8e-06 788149 16694 9464 2.1% 1.2% 19524 12009 0.4%  5 1
6e-06 789556 16705 9473 2.1% 1.2% 19534 12019 0.4%  5 2
9e-06 791987 16723 9488 2.1% 1.2% 19553 12033 0.4%  5 3
1.3e-05 796882 16760 9521 2.1% 1.2% 19588 12065 0.4%  5 4
2.5e-05 806811 16840 9587 2.1% 1.2% 19669 12131 0.4%  5 5
4.9e-05 826454 17012 9719 2.1% 1.2% 19838 12260 0.4%  5 6
9.6e-05 865719 17562 9983 2.0% 1.2% 20389 12524 0.4%  5 7
0.000191 944523 18976 10511 2.0% 1.1% 21858 13062 0.4%  5 8
0.000376 1101501 21087 11506 1.9% 1.0% 23954 14059 0.3%  5 9
0.000767 1415913 25313 13681 1.8% 1.0% 28193 16235 0.3%  5 10
0.001542 2044649 34315 17905 1.7% 0.9% 37195 20459 0.3%  5 11
0.003106 3302099 66594 26353 2.0% 0.8% 69473 28905 0.3%  5 12
0.006108 5817136 116260 43249 2.0% 0.7% 119159 45804 0.3%  5 13
0.012354 10846979 215586 76979 2.0% 0.7% 218462 79530 0.3%  5 14
0.025019 20906868 414242 144626 2.0% 0.7% 417121 147181 0.3%  5 15
9e-06 790161 16705 9476 2.1% 1.2% 19537 12022 0.4%  6 1
1e-05 792555 16723 9493 2.1% 1.2% 19545 12035 0.4%  6 2
1.4e-05 797450 16759 9524 2.1% 1.2% 19591 12070 0.4%  6 3
2.8e-05 807324 16845 9589 2.1% 1.2% 19675 12133 0.4%  6 4
5.1e-05 826881 17011 9719 2.1% 1.2% 19838 12260 0.4%  6 5
9.8e-05 865845 17518 9979 2.0% 1.2% 20343 12520 0.4%  6 6
0.000191 944280 18947 10499 2.0% 1.1% 21814 13046 0.4%  6 7
0.000494 1100565 21026 11478 1.9% 1.0% 23892 14031 0.3%  6 8
0.00077 1413404 25186 13621 1.8% 1.0% 28053 16174 0.3%  6 9
0.001522 2039109 33507 17781 1.6% 0.9% 36388 20335 0.3%  6 10
0.003153 3290419 51214 26101 1.6% 0.8% 54093 28653 0.3%  6 11
0.006069 5793103 115809 42741 2.0% 0.7% 118684 45293 0.3%  6 12
0.012377 10798499 214627 76021 2.0% 0.7% 217529 78578 0.3%  6 13
0.024964 20809157 412256 142519 2.0% 0.7% 415129 145071 0.3%  6 14
0.050745 40830629 807520 275702 2.0% 0.7% 810397 278260 0.3%  6 15
1.3e-05 793778 16730 9500 2.1% 1.2% 19560 12045 0.4%  7 1
1.5e-05 798659 16771 9533 2.1% 1.2% 19604 12079 0.4%  7 2
2.6e-05 808516 16856 9596 2.1% 1.2% 19684 12141 0.4%  7 3
